STATE,Count
Andaman and Nicobar Islands,1332
Andhra Pradesh,222199
Arunachal Pradesh,3039
Assam,133239
Bihar,282083
Chandigarh,2995
Chhattisgarh,110633
Dadra and Nagar Haveli,579
Daman and Diu,579
Delhi,306389
Goa,2991
Gujarat,731738
Haryana,206431
Himachal Pradesh,18833
Jammu and Kashmir,31675
Jharkhand,60765
Karnataka,163697
Kerala,524960
Lakshadweep,128
Madhya Pradesh,475918
Maharashtra,540800
Manipur,3204
Meghalaya,3428
Mizoram,3196
Nagaland,1478
Orissa,155420
Pondicherry,4595
Punjab,73581
Rajasthan,284569
Sikkim,728
Tamil Nadu,756753
Telangana ,158809
Tripura,4788
Uttar Pradesh,608082
Uttarakhand,34875
West Bengal,181821
